participantID,age,gender,handedness,block_i,trial_i,stim,signal,SSD,response,rt,correct,focus,Fullscreen,time_elapsed,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution
S013,24,Vrouwelijk,Rechts,0,1,left,yes,200,leftarrow,426,false,focus,yes,207452,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,0,2,left,no,150,leftarrow,377,true,focus,yes,209346,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,0,3,right,yes,150,rightarrow,320,false,focus,yes,211191,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,0,4,right,no,100,rightarrow,388,true,focus,yes,213130,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,0,5,right,no,100,rightarrow,320,true,focus,yes,214992,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,0,6,left,no,100,leftarrow,299,true,focus,yes,216832,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,0,7,left,no,100,rightarrow,253,false,focus,yes,218610,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,0,8,right,no,100,rightarrow,303,true,focus,yes,220440,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,1,left,no,100,leftarrow,350,true,focus,yes,240713,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,2,left,no,100,leftarrow,383,true,focus,yes,241875,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,3,right,no,100,rightarrow,320,true,focus,yes,242969,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,4,left,yes,100,leftarrow,251,false,focus,yes,244000,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,5,left,no,50,leftarrow,249,true,focus,yes,245035,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,6,right,no,50,leftarrow,231,false,focus,yes,246025,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,7,right,yes,50,leftarrow,236,false,focus,yes,247037,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,8,right,no,50,rightarrow,314,true,focus,yes,248117,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,9,right,no,50,rightarrow,330,true,focus,yes,249206,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,10,left,yes,50,leftarrow,236,false,focus,yes,250214,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,11,left,no,50,rightarrow,216,false,focus,yes,251213,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
S013,24,Vrouwelijk,Rechts,1,12,right,yes,50,rightarrow,400,false,focus,yes,252373,Chrome,111.0,Windows,10,undefined,undefined,1536 x 864,1536 x 864
