participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
H010;21;Vrouwelijk;Rechts;0;1;right;no;200;rightarrow;748;true;focus;yes;108079;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;0;2;right;yes;200;undefined;null;true;focus;yes;110871;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;0;3;right;no;250;rightarrow;437;true;focus;yes;112850;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;0;4;right;no;250;rightarrow;352;true;focus;yes;114730;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;0;5;left;no;250;leftarrow;388;true;focus;yes;116665;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;0;6;left;no;250;leftarrow;381;true;focus;yes;118573;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;0;7;left;no;250;leftarrow;369;true;focus;yes;120468;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;0;8;left;yes;250;leftarrow;418;false;focus;yes;122415;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;1;left;yes;200;leftarrow;422;false;focus;yes;142743;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;2;right;no;150;rightarrow;328;true;focus;yes;143839;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;3;right;no;150;rightarrow;601;true;focus;yes;145214;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;4;right;yes;150;undefined;null;true;focus;yes;147251;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;5;right;no;200;leftarrow;268;false;focus;yes;148278;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;6;left;no;200;leftarrow;372;true;focus;yes;149425;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;7;left;no;200;leftarrow;436;true;focus;yes;150639;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;8;left;no;200;leftarrow;370;true;focus;yes;151783;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;9;right;no;200;rightarrow;380;true;focus;yes;152931;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;10;right;no;200;rightarrow;340;true;focus;yes;154042;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;11;left;yes;200;leftarrow;391;false;focus;yes;155218;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;12;left;no;150;leftarrow;385;true;focus;yes;156378;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;13;left;no;150;leftarrow;404;true;focus;yes;157562;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;14;left;no;150;leftarrow;301;true;focus;yes;158643;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;15;right;yes;150;rightarrow;303;false;focus;yes;159726;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;16;right;no;100;rightarrow;456;true;focus;yes;160949;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;17;left;no;100;leftarrow;404;true;focus;yes;162129;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;18;left;no;100;leftarrow;328;true;focus;yes;163220;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;19;right;yes;100;undefined;null;true;focus;yes;165236;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;20;right;no;150;rightarrow;424;true;focus;yes;166425;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;21;right;no;150;rightarrow;386;true;focus;yes;167578;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;22;right;no;150;rightarrow;381;true;focus;yes;168722;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;23;left;yes;150;leftarrow;392;false;focus;yes;169890;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;24;left;no;100;leftarrow;365;true;focus;yes;171025;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;25;right;no;100;rightarrow;399;true;focus;yes;172199;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;26;left;yes;100;leftarrow;358;false;focus;yes;173330;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;27;right;no;50;rightarrow;308;true;focus;yes;174411;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;28;left;no;50;leftarrow;395;true;focus;yes;175584;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;29;left;no;50;leftarrow;357;true;focus;yes;176714;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;30;right;no;50;rightarrow;362;true;focus;yes;177852;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
H010;21;Vrouwelijk;Rechts;1;31;right;yes;50;undefined;null;true;focus;yes;179867;Chrome;112.0;Windows;10;undefined;undefined;1280 x 720;1600 x 900
