participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
H043;36;Mannelijk;Rechts;0;1;right;yes;200;rightarrow;475;false;focus;yes;59011;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
H043;36;Mannelijk;Rechts;0;2;left;yes;150;rightarrow;259;false;focus;yes;60812;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
H043;36;Mannelijk;Rechts;0;3;left;no;100;leftarrow;365;true;focus;yes;62706;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
H043;36;Mannelijk;Rechts;0;4;right;no;100;rightarrow;315;true;focus;yes;64557;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
H043;36;Mannelijk;Rechts;0;5;right;no;100;rightarrow;373;true;focus;yes;66455;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
H043;36;Mannelijk;Rechts;0;6;right;no;100;rightarrow;343;true;focus;yes;68324;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
H043;36;Mannelijk;Rechts;0;7;left;no;100;leftarrow;364;true;focus;yes;70223;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
H043;36;Mannelijk;Rechts;0;8;left;no;100;leftarrow;382;true;focus;yes;72134;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
H043;36;Mannelijk;Rechts;1;1;left;no;100;leftarrow;311;true;focus;yes;97362;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
H043;36;Mannelijk;Rechts;1;2;left;no;100;leftarrow;319;true;focus;yes;98453;Firefox;89.0;Windows;10;undefined;undefined;1366 x 768;1366 x 768
