participantID,age,gender,handedness,block_i,trial_i,stim,signal,SSD,response,rt,correct,focus,Fullscreen,time_elapsed,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution
S009,69,Mannelijk,Rechts,0,1,left,yes,200,leftarrow,863,false,focus,yes,204448,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,0,2,right,no,150,rightarrow,546,true,focus,yes,206526,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,0,3,left,no,150,leftarrow,668,true,focus,yes,208725,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,0,4,right,yes,150,rightarrow,820,false,focus,yes,211077,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,0,5,right,no,100,rightarrow,875,true,focus,yes,213473,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,0,6,left,no,100,leftarrow,548,true,focus,yes,215536,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,0,7,left,no,100,leftarrow,575,true,focus,yes,217654,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,0,8,right,no,100,rightarrow,409,true,focus,yes,219595,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,1,left,no,100,leftarrow,528,true,focus,yes,240465,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,2,right,no,100,rightarrow,573,true,focus,yes,241819,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,3,right,no,100,rightarrow,542,true,focus,yes,243129,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,4,right,no,100,rightarrow,537,true,focus,yes,244435,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,5,left,yes,100,leftarrow,542,false,focus,yes,245752,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,6,right,yes,50,rightarrow,501,false,focus,yes,247024,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,7,left,no,50,leftarrow,501,true,focus,yes,248299,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,8,left,no,50,leftarrow,427,true,focus,yes,249498,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,9,left,no,50,leftarrow,639,true,focus,yes,250896,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,10,right,no,50,rightarrow,516,true,focus,yes,252169,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,11,right,yes,50,rightarrow,574,false,focus,yes,253509,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,12,left,yes,50,leftarrow,530,false,focus,yes,254800,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,13,left,no,50,leftarrow,461,true,focus,yes,256030,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,14,right,no,50,rightarrow,611,true,focus,yes,257410,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
S009,69,Mannelijk,Rechts,1,15,right,no,50,rightarrow,565,true,focus,yes,258735,Firefox,109.0,Windows,10,undefined,undefined,1504 x 1003,1504 x 1003
