participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
H001;25;Vrouwelijk;Rechts;0;1;right;no;200;undefined;null;false;focus;no;692727;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;0;2;left;yes;200;undefined;null;true;focus;no;695524;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;0;3;left;no;250;leftarrow;636;true;focus;no;697700;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;0;4;left;no;250;leftarrow;661;true;focus;no;699892;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;0;5;left;no;250;leftarrow;630;true;focus;no;702044;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;0;6;right;no;250;rightarrow;415;true;focus;no;703996;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;0;7;right;yes;250;rightarrow;377;false;focus;no;705908;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;0;8;right;no;200;rightarrow;597;true;focus;no;708028;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;1;left;no;200;leftarrow;384;true;focus;no;802764;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;2;right;no;200;rightarrow;440;true;focus;no;803981;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;3;right;no;200;rightarrow;529;true;focus;no;805292;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;4;left;no;200;leftarrow;445;true;focus;no;806508;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;5;right;yes;200;rightarrow;420;false;focus;no;807700;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;6;right;no;150;rightarrow;468;true;focus;no;808948;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;7;left;no;150;leftarrow;482;true;focus;no;810212;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;8;left;yes;150;leftarrow;488;false;focus;no;811468;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;9;right;yes;100;rightarrow;398;false;focus;no;812644;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;10;right;no;50;rightarrow;767;true;focus;no;814180;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;11;left;no;50;leftarrow;706;true;focus;no;815669;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;12;left;no;50;leftarrow;637;true;focus;no;817084;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;13;right;no;50;rightarrow;549;true;focus;no;818412;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;14;left;no;50;leftarrow;680;true;focus;no;819860;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;15;left;yes;50;undefined;null;true;focus;no;821890;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;16;right;no;100;rightarrow;573;true;focus;no;823236;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;17;left;yes;100;undefined;null;true;focus;no;825274;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;18;left;no;150;leftarrow;517;true;focus;no;826565;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;19;right;yes;150;undefined;null;true;focus;no;828607;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;20;right;no;200;rightarrow;408;true;focus;no;829788;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;21;right;no;200;rightarrow;665;true;focus;no;831228;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;22;left;no;200;leftarrow;784;true;focus;no;832780;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;23;right;no;200;rightarrow;653;true;focus;no;834204;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;24;left;no;200;leftarrow;616;true;focus;no;835596;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;25;left;no;200;leftarrow;808;true;focus;no;837188;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;26;right;no;200;rightarrow;729;true;focus;no;838692;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;27;right;no;200;rightarrow;549;true;focus;no;840012;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;28;right;no;200;undefined;null;false;focus;no;842031;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;29;left;no;200;leftarrow;679;true;focus;no;843492;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;30;left;yes;200;undefined;null;true;focus;no;845527;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;31;right;yes;250;undefined;null;true;focus;no;847548;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;32;left;no;300;leftarrow;644;true;focus;no;848973;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;33;left;no;300;leftarrow;818;true;focus;no;850564;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
H001;25;Vrouwelijk;Rechts;1;34;left;no;300;leftarrow;842;true;focus;no;852172;Chrome;112.0;Windows;10;undefined;undefined;1600 x 900;1601 x 762
