participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
H011;28;Mannelijk;Links;0;1;left;no;200;leftarrow;500;true;focus;yes;268056;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;0;2;left;no;200;leftarrow;418;true;focus;yes;269992;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;0;3;right;no;200;rightarrow;335;true;focus;yes;271862;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;0;4;right;no;200;rightarrow;438;true;focus;yes;273830;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;0;5;right;yes;200;rightarrow;414;false;focus;yes;275776;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;0;6;right;no;150;rightarrow;417;true;focus;yes;277728;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;0;7;left;yes;150;undefined;null;true;focus;yes;280528;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;0;8;left;no;200;leftarrow;366;true;focus;yes;282417;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;1;left;yes;200;leftarrow;319;false;focus;yes;303320;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;2;right;no;150;rightarrow;367;true;focus;yes;304448;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;3;left;no;150;leftarrow;272;true;focus;yes;305488;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;4;right;yes;150;rightarrow;288;false;focus;yes;306553;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;5;left;no;100;leftarrow;365;true;focus;yes;307696;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;6;right;no;100;rightarrow;265;true;focus;yes;308732;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;7;right;no;100;rightarrow;443;true;focus;yes;309960;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;8;left;no;100;leftarrow;327;true;focus;yes;311062;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;9;right;no;100;rightarrow;248;true;focus;yes;312072;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;10;right;no;100;leftarrow;404;false;focus;yes;313256;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;11;left;no;100;leftarrow;339;true;focus;yes;314376;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;12;left;no;100;leftarrow;420;true;focus;yes;315561;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;13;left;yes;100;undefined;null;true;focus;yes;317601;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;14;right;yes;150;rightarrow;287;false;focus;yes;318661;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;15;left;no;100;leftarrow;345;true;focus;yes;319784;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;16;right;no;100;rightarrow;457;true;focus;yes;321016;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;17;right;no;100;rightarrow;510;true;focus;yes;322302;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;18;left;no;100;leftarrow;482;true;focus;yes;323542;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;19;left;no;100;leftarrow;425;true;focus;yes;324735;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;20;left;no;100;leftarrow;551;true;focus;yes;326063;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;21;right;no;100;rightarrow;409;true;focus;yes;327247;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;22;left;yes;100;undefined;null;true;focus;yes;329274;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;23;right;yes;150;rightarrow;402;false;focus;yes;330451;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;24;right;no;100;rightarrow;545;true;focus;yes;331762;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;25;right;no;100;rightarrow;456;true;focus;yes;332989;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;26;right;no;100;rightarrow;632;true;focus;yes;334400;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;27;right;yes;100;undefined;null;true;focus;yes;336433;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;28;right;no;150;rightarrow;483;true;focus;yes;337702;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;29;left;no;150;leftarrow;417;true;focus;yes;338904;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;30;left;no;150;leftarrow;417;true;focus;yes;340103;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;31;left;no;150;leftarrow;399;true;focus;yes;341272;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;32;left;yes;150;undefined;null;true;focus;yes;343305;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;33;right;no;200;rightarrow;427;true;focus;yes;344502;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;34;left;no;200;leftarrow;395;true;focus;yes;345656;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;35;left;no;200;leftarrow;447;true;focus;yes;346874;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;36;right;yes;200;undefined;null;true;focus;yes;348894;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
H011;28;Mannelijk;Links;1;37;left;no;250;leftarrow;433;true;focus;yes;350111;Chrome;112.0;Windows;10;undefined;undefined;1564 x 1043;1564 x 1043
