participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
H039;26;Vrouwelijk;Rechts;0;1;right;no;200;rightarrow;410;true;focus;yes;75930;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;0;2;right;yes;200;leftarrow;266;false;focus;yes;77714;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;0;3;left;yes;150;leftarrow;271;false;focus;yes;79514;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;0;4;right;no;100;rightarrow;376;true;focus;yes;81410;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;0;5;right;no;100;rightarrow;337;true;focus;yes;83274;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;0;6;left;no;100;leftarrow;522;true;focus;yes;85314;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;0;7;left;no;100;leftarrow;476;true;focus;yes;87314;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;0;8;left;no;100;leftarrow;477;true;focus;yes;89314;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;1;right;yes;100;rightarrow;375;false;focus;yes;109346;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;2;right;no;50;rightarrow;429;true;focus;yes;110546;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;3;right;no;50;rightarrow;358;true;focus;yes;111674;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;4;left;no;50;leftarrow;407;true;focus;yes;112842;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;5;left;yes;50;undefined;null;true;focus;yes;114855;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;6;right;no;100;rightarrow;385;true;focus;yes;116003;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;7;left;no;100;leftarrow;387;true;focus;yes;117155;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;8;left;no;100;leftarrow;341;true;focus;yes;118259;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;9;right;no;100;rightarrow;493;true;focus;yes;119515;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;10;left;no;100;leftarrow;317;true;focus;yes;120603;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;11;right;no;100;rightarrow;343;true;focus;yes;121715;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;12;right;no;100;rightarrow;431;true;focus;yes;122907;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;13;left;no;100;leftarrow;352;true;focus;yes;124027;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
H039;26;Vrouwelijk;Rechts;1;14;left;yes;100;leftarrow;368;false;focus;yes;125163;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1080;1920 x 1080
