participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
H041;32;Mannelijk;Rechts;0;1;right;no;200;rightarrow;475;true;focus;yes;131230;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;0;2;right;no;200;rightarrow;322;true;focus;yes;133080;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;0;3;left;no;200;leftarrow;365;true;focus;yes;134982;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;0;4;right;no;200;rightarrow;326;true;focus;yes;136845;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;0;5;left;yes;200;leftarrow;314;false;focus;yes;138683;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;0;6;left;no;150;leftarrow;370;true;focus;yes;140580;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;0;7;right;yes;150;rightarrow;312;false;focus;yes;142426;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;0;8;left;no;100;leftarrow;276;true;focus;yes;144225;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;1;1;right;no;100;rightarrow;310;true;focus;yes;164706;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;1;2;right;no;100;rightarrow;366;true;focus;yes;165832;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;1;3;left;no;100;leftarrow;372;true;focus;yes;166971;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;1;4;left;no;100;leftarrow;366;true;focus;yes;168114;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;1;5;left;yes;100;leftarrow;318;false;focus;yes;169191;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;1;6;right;no;50;rightarrow;314;true;focus;yes;170288;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;1;7;right;yes;50;undefined;null;true;focus;yes;172306;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
H041;32;Mannelijk;Rechts;1;8;left;no;100;leftarrow;354;true;focus;yes;173433;Chrome;112.0;Windows;10;undefined;undefined;1920 x 1200;1920 x 1200
