participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
H015;49;Mannelijk;Rechts;0;1;left;no;200;leftarrow;936;true;focus;yes;116125;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;0;2;left;no;200;leftarrow;403;true;focus;yes;118064;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;0;4;left;no;150;leftarrow;419;true;focus;yes;121935;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;0;3;right;yes;200;rightarrow;399;false;focus;yes;119978;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;0;5;left;yes;150;undefined;null;true;focus;yes;124717;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;0;6;right;no;200;rightarrow;510;true;focus;yes;126760;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;0;7;right;no;200;rightarrow;512;true;focus;yes;128802;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;0;8;right;no;200;rightarrow;520;true;focus;yes;130855;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;1;right;no;200;rightarrow;591;true;focus;yes;151641;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;2;left;no;200;leftarrow;441;true;focus;yes;152856;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;3;left;no;200;leftarrow;528;true;focus;yes;154160;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;4;right;yes;200;rightarrow;399;false;focus;yes;155315;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;5;right;no;150;rightarrow;765;true;focus;yes;156843;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;6;left;no;150;leftarrow;782;true;focus;yes;158408;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;7;left;yes;150;undefined;null;true;focus;yes;160434;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;8;right;no;200;rightarrow;435;true;focus;yes;161642;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;9;left;no;200;leftarrow;794;true;focus;yes;163208;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;10;left;yes;200;undefined;null;true;focus;yes;165241;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
H015;49;Mannelijk;Rechts;1;11;left;no;250;leftarrow;552;true;focus;yes;166561;Chrome;112.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
